Id,ActivityDate,TotalSteps,TotalDistance,SedentaryMinutes,TotalMinutesAsleep,TotalTimeInBed,TotalSleepRecords,Sleep_Pattern,Idle_minutes_on_bed
6962181067,2016-04-12,10199,6.739999771,796,366,387,1,Poor Sleep,21
6962181067,2016-05-01,5454,3.609999895,722,411,426,1,Poor Sleep,15
6962181067,2016-05-02,12912,8.539999962,655,466,482,1,Good Sleep,16
6962181067,2016-05-03,12109,8.119999886,654,394,418,1,Poor Sleep,24
6962181067,2016-05-04,10147,6.710000038,683,442,455,1,Good Sleep,13
6962181067,2016-05-05,10524,6.960000038,591,467,491,1,Good Sleep,24
6962181067,2016-05-06,5908,3.910000086,717,443,462,1,Good Sleep,19
6962181067,2016-05-07,6815,4.5,745,298,334,1,Poor Sleep,36
6962181067,2016-05-08,4188,2.769999981,709,541,569,1,Excess Sleep,28
6962181067,2016-05-09,12342,8.720000267,607,489,497,1,Good Sleep,8
6962181067,2016-05-10,15448,10.21000004,626,469,481,1,Good Sleep,12
6962181067,2016-05-11,6722,4.440000057,709,452,480,1,Good Sleep,28
6962181067,2016-05-12,3587,2.369999886,127,516,535,1,Good Sleep,19
7007744171,2016-05-01,5600,3.75,1142,58,61,1,Poor Sleep,3
7086361926,2016-04-12,11317,8.409999847,745,514,525,1,Good Sleep,11
7086361926,2016-05-01,12390,8.069999695,685,388,407,1,Poor Sleep,19
7086361926,2016-05-02,10052,6.809999943,737,440,459,1,Good Sleep,19
7086361926,2016-05-03,10288,6.760000229,761,456,461,1,Good Sleep,5
7086361926,2016-05-04,10988,8.31000042,843,420,436,1,Poor Sleep,16
7086361926,2016-05-06,12461,8.380000114,834,322,333,1,Poor Sleep,11
7086361926,2016-05-07,12827,8.479999542,621,530,548,1,Good Sleep,18
7086361926,2016-05-08,10677,7.099999905,695,481,510,1,Good Sleep,29
7086361926,2016-05-09,13566,9.109999657,743,427,438,1,Good Sleep,11
7086361926,2016-05-11,9572,6.519999981,757,451,463,1,Good Sleep,12
7086361926,2016-05-12,3789,2.559999943,343,444,457,1,Good Sleep,13
8053475328,2016-05-07,19769,15.67000008,1076,74,75,1,Poor Sleep,1
8378563200,2016-04-12,7626,6.050000191,723,338,356,1,Poor Sleep,18
8378563200,2016-05-01,11419,9.06000042,669,475,539,1,Good Sleep,64
8378563200,2016-05-02,6064,4.809999943,802,351,385,1,Poor Sleep,34
8378563200,2016-05-03,8712,6.909999847,822,405,429,1,Poor Sleep,24
8378563200,2016-05-04,7875,6.239999771,680,441,477,1,Good Sleep,36
8378563200,2016-05-05,8567,6.789999962,764,381,417,1,Poor Sleep,36
8378563200,2016-05-06,7045,5.590000153,831,323,355,1,Poor Sleep,32
8378563200,2016-05-07,4468,3.539999962,851,459,513,2,Good Sleep,54
8378563200,2016-05-08,2943,2.329999924,621,545,606,1,Excess Sleep,61
8378563200,2016-05-09,8382,6.650000095,772,359,399,1,Poor Sleep,40
8378563200,2016-05-10,6582,5.21999979,840,342,391,1,Poor Sleep,49
8378563200,2016-05-11,9143,7.25,763,368,387,1,Poor Sleep,19
8378563200,2016-05-12,4561,3.619999886,433,496,546,1,Good Sleep,50
8792009665,2016-04-12,2564,1.639999986,831,458,493,1,Good Sleep,35
8792009665,2016-05-01,1619,1.039999962,834,503,527,1,Good Sleep,24
8792009665,2016-05-02,1831,1.169999957,916,415,423,1,Poor Sleep,8
8792009665,2016-05-03,2421,1.549999952,739,516,545,1,Good Sleep,29
8792009665,2016-05-04,2283,1.460000038,848,439,463,1,Good Sleep,24
